direction,log,window,z,sig_per_sym_month,N_1,edge_voln_1,edge_bp_1,wr_edge_1,N_2,edge_voln_2,edge_bp_2,wr_edge_2,N_4,edge_voln_4,edge_bp_4,wr_edge_4,p4,N_12,edge_voln_12,edge_bp_12,wr_edge_12,N_24,edge_voln_24,edge_bp_24,wr_edge_24,p24,N_48,edge_voln_48,edge_bp_48,wr_edge_48
bar_up,False,168,5.0,1.86,1002,0.1552,20.1,-0.0012,1002,0.1659,26.2,0.0139,1002,0.1998,37.8,0.0627,0.0,1002,0.2163,59.6,0.0519,1002,0.2028,71.3,0.023,0.0,1002,0.1155,47.9,0.0289
bar_down,False,168,2.0,7.62,4114,-0.0172,-2.0,-0.0558,4114,-0.0232,-3.4,-0.0314,4114,-0.0299,-6.5,-0.0328,0.974,4114,-0.0069,-15.4,-0.0495,4114,-0.0371,-34.1,-0.045,0.982,4114,-0.0636,-61.5,-0.0464
bar_down,False,168,2.5,6.19,3340,-0.0311,-3.5,-0.0597,3340,-0.0296,-5.2,-0.0371,3340,-0.0337,-7.2,-0.0302,0.972,3340,0.0332,-5.1,-0.0403,3340,-0.0174,-25.9,-0.0369,0.808,3340,-0.0539,-62.5,-0.0475
bar_down,False,168,3.0,5.11,2759,-0.0006,-0.8,-0.0473,2759,-0.0307,-5.8,-0.0419,2759,-0.0119,-3.5,-0.0261,0.716,2759,0.0651,3.8,-0.0299,2759,0.0058,-17.2,-0.0277,0.398,2759,-0.0457,-58.5,-0.0438
bar_down,False,168,3.5,4.23,2285,0.0178,0.6,-0.0467,2285,-0.0073,-2.1,-0.0336,2285,0.0414,5.5,-0.0008,0.02,2285,0.1163,17.2,-0.0138,2285,0.0516,-1.8,-0.0038,0.002,2285,-0.0277,-52.2,-0.0343
bar_down,False,168,4.0,3.49,1884,0.0599,3.6,-0.0468,1884,0.0374,4.6,-0.0296,1884,0.0852,14.9,0.0115,0.0,1884,0.1625,30.2,-0.0113,1884,0.087,9.7,-0.0004,0.0,1884,-0.0094,-48.2,-0.0317
bar_down,False,168,5.0,2.38,1283,-0.0466,-2.7,-0.0678,1283,0.0134,11.7,-0.0264,1283,0.0582,18.7,0.0092,0.018,1283,0.1787,40.0,-0.0039,1283,0.1147,23.5,0.0143,0.0,1283,-0.0124,-48.4,-0.0269
long,False,168,2.0,14.96,8077,0.0322,3.3,0.0078,8077,0.0257,4.2,0.0042,8077,0.049,10.2,0.012,0.0,8077,0.0497,20.6,0.0274,8077,0.0615,32.2,0.0225,0.0,8077,0.0826,61.6,0.0289
long,False,168,2.5,12.05,6508,0.0645,6.8,0.015,6508,0.0479,7.9,0.0125,6508,0.0607,13.0,0.009,0.0,6508,0.052,22.5,0.0303,6508,0.067,34.8,0.0231,0.0,6508,0.0881,66.4,0.0315
long,False,168,3.0,9.74,5262,0.0528,6.6,0.0089,5262,0.0557,10.1,0.0173,5262,0.0609,13.8,0.0146,0.0,5262,0.0401,20.0,0.0269,5262,0.0627,36.9,0.0235,0.0,5262,0.086,67.9,0.0355
long,False,168,3.5,7.9,4265,0.0524,7.0,0.0114,4265,0.0603,10.4,0.0166,4265,0.0558,13.2,0.0107,0.002,4265,0.0394,20.3,0.0255,4265,0.0574,35.2,0.0125,0.0,4265,0.0768,63.7,0.0282
long,False,168,4.0,6.39,3452,0.0348,5.4,0.0155,3452,0.0385,5.9,0.0159,3452,0.0312,5.8,0.0071,0.038,3452,0.0205,10.4,0.0262,3452,0.0529,29.1,0.0108,0.002,3452,0.0735,57.8,0.0253
long,False,168,5.0,4.23,2285,0.0946,10.3,0.0323,2285,0.0659,4.9,0.017,2285,0.0559,6.1,0.0158,0.002,2285,-0.0041,3.7,0.0227,2285,0.0256,18.1,-0.0001,0.138,2285,0.058,48.2,0.0256
short,False,168,2.0,14.96,8077,-0.0322,-3.3,-0.023,8077,-0.0257,-4.2,-0.0131,8077,-0.049,-10.2,-0.0213,1.0,8077,-0.0497,-20.6,-0.0314,8077,-0.0615,-32.2,-0.0255,1.0,8077,-0.0826,-61.6,-0.032
short,False,168,2.5,12.05,6508,-0.0645,-6.8,-0.0302,6508,-0.0479,-7.9,-0.0214,6508,-0.0607,-13.0,-0.02,1.0,6508,-0.052,-22.5,-0.0341,6508,-0.067,-34.8,-0.0259,1.0,6508,-0.0881,-66.4,-0.0345
short,False,168,3.0,9.74,5262,-0.0528,-6.6,-0.0228,5262,-0.0557,-10.1,-0.0255,5262,-0.0609,-13.8,-0.0258,1.0,5262,-0.0401,-20.0,-0.0305,5262,-0.0627,-36.9,-0.0265,1.0,5262,-0.086,-67.9,-0.0377
short,False,168,3.5,7.9,4265,-0.0524,-7.0,-0.0255,4265,-0.0603,-10.4,-0.0244,4265,-0.0558,-13.2,-0.0201,0.998,4265,-0.0394,-20.3,-0.0288,4265,-0.0574,-35.2,-0.0156,1.0,4265,-0.0768,-63.7,-0.0307
short,False,168,4.0,6.39,3452,-0.0348,-5.4,-0.0289,3452,-0.0385,-5.9,-0.0237,3452,-0.0312,-5.8,-0.0173,0.962,3452,-0.0205,-10.4,-0.0297,3452,-0.0529,-29.1,-0.0146,0.998,3452,-0.0735,-57.8,-0.0285
short,False,168,5.0,4.23,2285,-0.0946,-10.3,-0.0441,2285,-0.0659,-4.9,-0.0231,2285,-0.0559,-6.1,-0.0276,0.998,2285,0.0041,-3.7,-0.0276,2285,-0.0256,-18.1,-0.0038,0.862,2285,-0.058,-48.2,-0.0282
