variant,side,thresh,sig_per_sym_month,N_4,edge_voln_4,edge_bp_4,wr_edge_4,N_12,edge_voln_12,edge_bp_12,wr_edge_12,N_24,edge_voln_24,edge_bp_24,wr_edge_24,p24,med_bp_24,q10_24,q90_24,N_48,edge_voln_48,edge_bp_48,wr_edge_48,N_72,edge_voln_72,edge_bp_72,wr_edge_72
plain,bear,90.0,0.07,36,-0.2342,-5.0,-0.0621,36,-0.6567,-108.4,-0.1181,36,-0.6468,-250.0,-0.1229,1.0,-187.8,-1018.0,695.0,36,-0.9514,-414.2,-0.1802,36,-0.7055,-328.5,-0.0437
plain,bull,10.0,0.06,34,0.8039,230.2,0.2698,34,1.3012,727.8,0.4143,34,0.7486,543.0,0.3012,0.002,552.5,-153.0,1317.0,34,1.0,1155.7,0.4795,34,1.1803,1371.8,0.4829
plain,bull,12.5,0.15,79,0.8554,228.6,0.1629,79,1.12,601.3,0.326,79,0.9711,651.4,0.2798,0.0,547.8,-114.0,1541.0,79,0.9619,1011.7,0.4203,79,1.004,1083.2,0.4358
plain,bull,15.0,0.32,174,0.0026,40.5,0.0906,174,0.2888,248.5,0.1238,174,0.5501,422.7,0.2197,0.0,218.0,-432.0,1564.0,174,0.4753,550.9,0.2205,174,0.6276,663.9,0.2923
plain,bull,17.5,0.64,348,-0.2232,-26.4,0.0451,348,-0.1607,25.5,0.0177,348,0.2045,201.1,0.0881,0.0,71.8,-531.0,1285.0,348,0.2317,283.3,0.1244,348,0.3993,398.9,0.1505
plain,bull,20.0,1.22,661,-0.1951,-32.3,0.015,661,-0.111,-1.2,0.0046,661,0.0835,93.6,0.0556,0.022,48.5,-619.0,897.0,661,0.1463,163.4,0.0557,661,0.2656,260.6,0.0919
plain,bull,22.5,2.05,1108,-0.0385,1.7,0.0434,1108,-0.0754,-0.3,0.0097,1108,-0.0103,31.8,0.0177,0.628,17.9,-687.0,762.0,1108,0.0891,101.0,0.0403,1108,0.194,193.3,0.0577
plain,bull,25.0,3.26,1762,-0.0324,-3.5,0.0407,1762,-0.0683,-7.9,0.0384,1762,-0.0551,-5.2,0.018,0.98,12.4,-701.0,653.0,1762,0.0257,43.7,0.0254,1762,0.1051,110.9,0.0415
plain,bull,27.5,4.91,2650,-0.0637,-9.4,0.0306,2650,-0.0765,-17.6,0.0285,2650,-0.063,-19.7,0.0172,1.0,10.0,-704.0,603.0,2650,-0.0187,7.4,0.0131,2650,0.0474,65.9,0.0347
plain,bull,30.0,7.1,3834,-0.0419,-7.6,0.0368,3834,-0.0655,-16.4,0.0319,3834,-0.0504,-12.9,0.0202,0.998,15.3,-654.0,572.0,3834,-0.0424,-10.8,0.0059,3834,0.015,38.5,0.017
